  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,FARMS Standardized,White Index,White Standardized,Black Index,Black Standardized,Asian Index,Asian Standardized,2 or more index,hispanic index,Segregation Index,Standardized
Lothian Elementary,Anne Arundel County,Elementary,4202,527,288,60,122,0,0,0,55,42.4,0.5,17,3,11.1,46.50%,48.70%,3.1,3.2,58.1,26.9,34.8,0,28,4,25,58.1,38.5,39.1,0,28,4,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.70%,0%,0,88.70%,0%,45,46,50.28%,0.2268,0.7029,-0.7168,73.0971,-0.5315,18.0699,-0.3163,12.8102,30.7380,11.6369,-0.2840086199
Manor View Elementary,Anne Arundel County,Elementary,3122,320,141,80,55,0,0,0,36,38.5,0.51,20,3,10.5,33.30%,51.40%,3,3.3,38.7,21.7,25,0,56.3,24,0,52.4,47.8,55,0,56.3,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,90.60%,0%,44,68,32.92%,-0.4272,9.9385,-0.6907,5.7670,-0.5753,10.9722,-0.3281,11.2972,2.1855,6.3372,-0.934428416
Marley Elementary,Anne Arundel County,Elementary,1162,846,270,231,224,54,0,0,55,38.7,0.46,13,3,7.9,25.30%,26.40%,2.7,2.7,31.3,23.5,15.7,45,21.7,6.8,6.7,30.4,30.4,15.8,40,21.7,4.5,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73%,0%,0,88.10%,0%,52.5,37.5,56.18%,0.4491,95.8211,-0.6157,7.4628,-0.5729,21.5324,-0.3113,0.0012,92.2254,14.7324,0.09588907715
Maryland City Elementary,Anne Arundel County,Elementary,3132,419,21,172,191,0,0,0,23,34.2,0.4,7,2,8.7,26.80%,38.70%,2.6,2.9,0,31.9,17.1,0,0,0,9.8,0,43.9,29.6,0,0,0,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.80%,0%,0,87%,0%,32,35,71.81%,1.0379,200.4071,-0.5664,8.9979,-0.5710,14.3668,-0.3221,0.6235,295.1360,22.7932,1.085179852
Mayo Elementary,Anne Arundel County,Elementary,4212,338,273,17,27,0,0,0,16,39.2,0.52,21,3,12.7,58.90%,56.50%,3.4,3.4,61.8,58.3,35.7,0,0,0,0,57.3,50,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,95.40%,0%,54,38,10.06%,-1.2884,32.1047,-0.6623,79.0537,-0.5290,11.5894,-0.3269,1.5757,8.9220,11.5432,-0.2955113562
Meade Heights Elementary,Anne Arundel County,Elementary,3142,380,78,230,38,0,0,0,27,31.8,0.42,9,2,10,38.20%,41.50%,3,3,62.5,29.6,50,0,0,5.9,0,62.5,34.6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,84.70%,2.50%,59.5,28,54.57%,0.3885,90.0666,-0.6191,90.2238,-0.5247,13.0295,-0.3244,0.2366,4.5036,14.0734,0.01501311078
Millersville Elementary,Anne Arundel County,Elementary,3162,331,241,27,26,0,0,0,27,34,0.45,12,3,12.5,54.50%,57.10%,3.5,3.5,58.6,33.3,33.3,0,60,22.2,0,63.8,16.7,33.3,0,70,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,91.90%,0%,44,30,14.56%,-1.1188,13.6605,-0.6845,60.8903,-0.5368,11.3494,-0.3274,1.4551,9.1230,9.8223,-0.5067087363
Monarch Academy Annapolis ES,Anne Arundel County,Elementary,6123,562,147,231,152,0,0,0,23,27.2,0.32,2,2,6.1,16.40%,15.50%,2.3,2.2,37.8,7.8,12.9,0,0,8.7,2.3,27,11.1,12.9,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.60%,0%,0,86.90%,0%,27,21,58.47%,0.5354,95.6466,-0.6158,12.2223,-0.5675,19.2700,-0.3145,4.9116,67.0182,14.1092,0.01940433448
Nantucket Elementary,Anne Arundel County,Elementary,3282,791,374,208,55,102,0,0,48,41.5,0.49,16,3,12.5,53.20%,60.10%,3.4,3.5,64,37.1,46.9,62.7,38.1,20,28.6,67.4,52.6,46.9,60.8,57.1,15,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75%,0%,0,93.10%,0%,32,39,14.74%,-1.1120,14.1491,-0.6838,9.8473,-0.5700,206.7220,-0.1884,0.1978,28.5687,16.1085,0.2647825018
North Glen Elementary,Anne Arundel County,Elementary,1172,271,79,99,53,13,0,0,26,39.8,0.47,15,3,8.2,21%,33.70%,2.6,2.9,27.3,19,15.8,0,0,15.4,0,42.4,33.3,27.8,0,0,7.7,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.80%,0%,0,79.40%,0%,58,53,65.09%,0.7848,37.7077,-0.6569,1.2344,-0.5845,1.4796,-0.3546,4.0863,5.7594,7.0900,-0.8420486802
Oak Hill Elementary,Anne Arundel County,Elementary,2172,691,546,37,27,38,0,0,40,38.6,0.51,20,3,12.6,55.90%,58.90%,3.4,3.4,58.1,25,18.2,78.9,63.6,16.7,0,60.7,60,9.1,52.6,72.7,31.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,95.90%,0%,48,40,7.79%,-1.3739,56.1486,-0.6417,157.8382,-0.5029,8.6390,-0.3328,0.4964,50.8228,16.5513,0.3191201433
Oakwood Elementary,Anne Arundel County,Elementary,1182,312,145,67,54,19,0,0,24,41.8,0.49,16,3,11.6,53.40%,46.60%,3.4,3.2,59.3,41.7,42.9,90,30,0,0,52.5,50,28.6,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.70%,0%,0,86.50%,0%,64.5,30.5,42.22%,-0.0768,6.5058,-0.6975,11.9766,-0.5677,6.4428,-0.3379,0.7198,2.2992,5.2862,-1.063414803
Odenton Elementary,Anne Arundel County,Elementary,3172,487,190,141,62,23,0,0,67,33.9,0.4,7,2,9.2,27.70%,42.70%,2.7,3,37.2,12.7,33.3,0,34.5,5.6,9.1,48.7,32.9,41.7,0,55.2,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.20%,0%,0,86.40%,1.50%,30,40,34.58%,-0.3646,28.7222,-0.6658,2.0635,-0.5822,2.3781,-0.3504,39.9676,0.6346,8.5887,-0.6581086731
Overlook Elementary,Anne Arundel County,Elementary,1192,375,208,70,60,16,0,0,19,41.4,0.49,16,3,9.2,29.50%,38.60%,2.8,2.9,32.2,25.7,21.4,0,0,15,6.3,41.1,37.1,25,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.30%,0%,0,86%,0%,59,33,52.39%,0.3063,0.2482,-0.7206,22.5175,-0.5586,0.7677,-0.3588,1.1422,0.9755,5.0647,-1.090603698
Park Elementary,Anne Arundel County,Elementary,1202,479,188,109,116,15,0,0,46,32.7,0.38,5,2,9,27.20%,39.90%,2.7,3,32.3,19,28.3,0,14.3,9.5,8.3,43.8,35.7,39.1,0,33.3,14.3,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.70%,0%,0,77.50%,0%,35,40,76.86%,1.2282,27.5362,-0.6670,14.4203,-0.5653,0.1235,-0.3655,7.2655,34.9046,9.1788,-0.5856904716
Pasadena Elementary,Anne Arundel County,Elementary,2182,382,309,30,23,0,0,0,11,54.1,0.64,47,4,13.6,62.60%,65.90%,3.6,3.6,66.2,23.1,58.3,0,0,47.6,0,69,38.5,50,0,0,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70%,0%,0,96.40%,0%,76,51,17.23%,-1.0182,36.6604,-0.6579,72.0240,-0.5319,13.0981,-0.3242,7.6127,17.6391,12.1258,-0.2240135558
Pershing Hill Elementary,Anne Arundel County,Elementary,3182,591,285,136,96,16,0,0,47,41,0.55,25,3,11.5,48.50%,51.30%,3.3,3.3,52.4,43.6,42.6,50,70.6,6.5,0,55.6,43.8,46.8,50,76.5,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,92.40%,0%,66,48,28.64%,-0.5884,8.6987,-0.6930,16.8851,-0.5631,0.8974,-0.3580,2.0063,1.9536,5.5173,-1.035051073
Piney Orchard Elementary,Anne Arundel County,Elementary,3242,638,325,122,71,41,0,0,75,47.2,0.56,26,3,12.2,48.70%,60.60%,3.3,3.5,56.4,30.8,56.4,63.2,35.1,16,0,62.4,49.2,66.7,78.9,59.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80%,0%,0,93%,0%,53,46.5,12.01%,-1.2149,4.6598,-0.7019,35.8582,-0.5497,16.7185,-0.3183,27.5401,3.9612,9.4201,-0.556077693
Point Pleasant Elementary,Anne Arundel County,Elementary,1212,568,348,74,69,0,0,0,69,36.6,0.43,10,2,8.7,25.20%,37.20%,2.6,3,27.8,7.9,22.6,0,33.3,11.4,0,39.1,21.1,45.2,0,45.5,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.30%,0%,0,83.60%,1.10%,40,44,48.86%,0.1733,1.4674,-0.7126,67.0926,-0.5340,19.4757,-0.3142,28.2945,1.5144,10.8556,-0.3798952773
Quarterfield Elementary,Anne Arundel County,Elementary,1232,442,170,119,55,48,0,0,48,39.5,0.46,14,3,9.7,28.30%,45.70%,2.8,3.2,31.9,19.6,22.2,50,40,26.7,13.3,47.2,44.6,40.7,41.7,53.3,20,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.60%,0%,0,86.90%,0%,37,52.5,36.10%,-0.3074,27.6580,-0.6669,4.4734,-0.5773,71.1804,-0.2634,13.1600,0.8464,10.8314,-0.3828747006
Richard Henry Lee Elementary,Anne Arundel County,Elementary,1242,518,248,97,111,20,0,0,33,39.7,0.47,14,3,7.9,25.80%,27%,2.6,2.6,26.6,17.6,25.5,0,23.1,7.7,8.8,28.9,19.6,23.5,0,38.5,3.8,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.80%,0%,0,86.80%,0%,56.5,38,49.90%,0.2125,8.2105,-0.6939,30.8418,-0.5528,0.2822,-0.3632,0.0080,19.8273,7.6922,-0.7681369432
Ridgeway Elementary,Anne Arundel County,Elementary,3192,640,328,145,68,20,0,0,77,45.9,0.54,24,3,11.7,51.70%,51.40%,3.3,3.3,56.2,39.2,33.3,0,70.3,13,0,53.3,41.9,33.3,0,78.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.80%,0%,0,91%,0%,54.5,42,24.18%,-0.7564,4.2382,-0.7030,19.6557,-0.5608,0.1723,-0.3647,30.5847,5.4420,7.7520,-0.7608016043
Rippling Woods Elementary,Anne Arundel County,Elementary,3392,655,237,238,103,30,0,0,44,33.1,0.39,6,2,8,22.80%,32.20%,2.6,2.7,28.3,17.2,25,40,11.8,8.8,19.2,38.7,25.8,32.6,60,11.8,2.9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.30%,0.90%,0,82.60%,0.90%,39,41,53.67%,0.3545,51.4316,-0.6453,2.6887,-0.5807,2.5322,-0.3498,0.0618,1.2497,7.6134,-0.77780622
Riviera Beach Elementary,Anne Arundel County,Elementary,2192,334,272,19,18,0,0,0,20,40.4,0.54,23,3,11.4,48%,49.30%,3.3,3.3,48.7,42.9,60,0,0,38.9,0,47.8,57.1,70,0,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,87.30%,0%,71,52,39.52%,-0.1785,33.5653,-0.6609,74.4378,-0.5309,11.4523,-0.3272,0.1202,17.9335,11.7264,-0.2730243931
Rolling Knolls Elementary,Anne Arundel County,Elementary,4232,413,214,39,111,22,0,0,26,51.1,0.6,36,4,12.1,55.80%,51.70%,3.4,3.3,70.4,37.5,25,0,0,15.8,13.3,68.4,31.3,18.2,0,0,21.1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.10%,0%,0,93.70%,0%,69,59,32.33%,-0.4494,2.2559,-0.7093,68.2135,-0.5336,4.3393,-0.3436,0.0196,47.9684,11.0814,-0.3521909061
Seven Oaks Elementary,Anne Arundel County,Elementary,3092,686,95,434,68,12,0,0,72,45.5,0.54,23,3,9.9,33.20%,46.30%,2.8,3.1,52,28.5,37.9,0,47.1,10,21.4,60,43.5,55.2,0,50,5,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.50%,0%,0,90.40%,0%,54.5,62,30.28%,-0.5266,226.7886,-0.5562,196.4872,-0.4925,5.6437,-0.3399,17.1767,8.4820,21.3208,0.9044767079
Severn Elementary,Anne Arundel County,Elementary,3202,509,126,248,69,26,0,0,35,39.4,0.46,14,3,9.4,32.50%,39.60%,2.8,3,40,32,21.7,38.5,30.8,15,18.2,51.4,39.2,30.4,38.5,30.8,20,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.30%,0%,0,92.60%,1.30%,51,32.5,32.75%,-0.4336,94.5722,-0.6165,40.1270,-0.5473,4.1859,-0.3441,0.1295,0.1014,11.7947,-0.2646394508
Severna Park Elementary,Anne Arundel County,Elementary,2202,417,362,0,19,14,0,0,15,49.4,0.58,31,3,14.7,69%,74.90%,3.7,3.8,71.9,0,0,0,0,16.7,0,77,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.80%,0%,0,93.50%,0%,55,41,5.76%,-1.4503,62.7522,-0.6368,136.2489,-0.5092,0.0062,-0.3689,5.3209,26.8839,15.2057,0.1539745812
Shady Side Elementary,Anne Arundel County,Elementary,4242,500,413,45,12,0,0,0,21,30.7,0.41,8,2,10.2,34.70%,47.40%,2.9,3.2,39.2,16.7,0,0,20,9.1,0,50.3,25,0,0,30,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,90.20%,0%,32,39,15.54%,-1.0819,55.2303,-0.6424,85.7634,-0.5264,17.1441,-0.3176,3.9837,48.4738,14.5119,0.06883061663
Shipley's Choice Elementary,Anne Arundel County,Elementary,2432,390,339,0,13,17,0,0,14,49.4,0.66,54,4,17.4,89.30%,90.40%,4.2,4.2,88.9,0,0,0,0,36.4,0,90.1,0,0,0,0,36.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,98.70%,0%,59.5,60,1.53%,-1.6097,59.1393,-0.6394,127.4271,-0.5120,0.9841,-0.3574,5.0020,32.0111,14.9854,0.1269478605
Solley Elementary,Anne Arundel County,Elementary,2212,836,555,105,90,24,0,0,58,39.2,0.46,13,3,10.8,43.90%,45.90%,3.1,3.2,46.6,27.1,45.3,0,40,6.5,0,48.6,31.3,46.2,0,43.3,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.90%,2.20%,0,89.30%,2.20%,43.5,38,30.84%,-0.5055,11.7189,-0.6876,103.5136,-0.5199,0.7592,-0.3589,0.2821,6.5429,11.0823,-0.3520800272
South Shore Elementary,Anne Arundel County,Elementary,3212,341,245,10,56,0,0,0,24,43.3,0.51,19,3,13,62.10%,57.40%,3.5,3.5,65.1,0,50,0,54.5,4.2,0,61.2,0,40,0,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.90%,0%,0,92.30%,0%,44,36,23.41%,-0.7854,12.3689,-0.6866,92.3145,-0.5239,11.6923,-0.3268,0.1698,1.3216,10.8567,-0.3797689237
Southgate Elementary,Anne Arundel County,Elementary,3382,768,296,277,113,19,0,0,62,38.1,0.45,12,2,9.2,33.10%,37.80%,2.8,2.9,41.4,23.7,17.3,78.6,44,3.8,7.4,47.1,31.3,19.2,71.4,40,7.7,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.80%,0%,0,87.90%,0%,54,41,51.17%,0.2604,47.6519,-0.6483,2.7078,-0.5807,2.0422,-0.3519,3.0476,0.2148,7.4609,-0.7965289959
Sunset Elementary,Anne Arundel County,Elementary,2222,528,408,34,27,12,0,0,45,35.8,0.48,15,3,10.8,38.40%,49.50%,3.1,3.3,41.3,18.8,30,0,31.6,13.3,0,52.7,50,50,0,21.1,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,88%,0%,57,41,22.86%,-0.8061,36.2581,-0.6583,111.2175,-0.5173,2.0582,-0.3518,3.4367,30.1751,13.5331,-0.05129211374
Traceys Elementary,Anne Arundel County,Elementary,4252,404,271,26,84,0,0,0,21,38.7,0.46,13,3,10.7,44.20%,46.70%,3.1,3.1,54.6,13.3,9.4,0,0,16.7,5.6,51.8,33.3,28.1,0,0,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.20%,0%,0,88.90%,0%,48,26.5,37.28%,-0.2629,6.5701,-0.6973,85.1225,-0.5267,13.8524,-0.3229,1.0110,12.8991,10.9296,-0.3708227564
Tyler Heights Elementary,Anne Arundel County,Elementary,4262,458,0,27,422,0,0,0,0,34.7,0.41,8,2,5.9,12%,16.80%,2.2,2.3,0,18.8,11.7,0,0,0,4.4,0,37.5,15.2,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.10%,0%,0,84.60%,0%,46.5,47,88.29%,1.6588,262.9663,-0.5432,100.5167,-0.5210,15.7040,-0.3199,29.6350,1980.9444,48.8852,4.287394278
Van Bokkelen Elementary,Anne Arundel County,Elementary,3152,491,18,352,91,0,0,0,23,31.6,0.37,4,2,7.3,19.60%,29%,2.3,2.6,0,17.3,31,0,0,0,11.8,0,26.7,35.7,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.90%,0%,0,76.20%,0%,45,47.5,79.92%,1.3435,247.0629,-0.5488,228.7642,-0.4846,16.8355,-0.3181,2.4211,6.8958,22.4049,1.037521052
Walter S. Mills - Parole Elementary,Anne Arundel County,Elementary,4222,627,12,259,343,0,0,0,0,34.1,0.4,7,2,6.1,15.30%,17.40%,2.2,2.2,0,10.5,18.9,0,0,30.6,16.7,0,16.7,17.9,0,0,33.3,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.60%,0%,0,80%,0%,49,47,88.91%,1.6821,336.3997,-0.5192,14.3059,-0.5655,21.4987,-0.3114,40.5702,734.4224,33.8703,2.444643765
Waugh Chapel Elementary,Anne Arundel County,Elementary,3222,615,330,119,63,48,0,0,51,49.5,0.58,32,3,12.8,56.70%,60.10%,3.4,3.6,65.8,31.4,36.4,88.9,51.7,20,0,67.8,39.2,40.9,94.4,48.3,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.50%,0%,0,90.80%,0%,59.5,53,19.97%,-0.9150,1.5124,-0.7124,33.4155,-0.5512,34.3475,-0.2959,3.1558,6.4445,8.8812,-0.6222120856
West Annapolis Elementary,Anne Arundel County,Elementary,4272,227,150,24,24,0,0,0,19,55.3,0.65,53,4,14.8,71.40%,73.50%,3.8,3.8,81.3,23.1,0,0,0,0,0,82.8,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80%,0%,0,85.70%,0%,71,73,16.89%,-1.0310,2.9671,-0.7068,33.9351,-0.5509,7.7834,-0.3347,1.2658,1.9890,6.9239,-0.8624266475
Windsor Farm Elementary,Anne Arundel County,Elementary,2372,550,378,45,83,0,0,0,35,51.4,0.6,37,4,12.9,57.40%,61.60%,3.5,3.5,63.1,20.8,46.3,0,58.3,4.8,36.4,68.5,33.3,43.9,0,50,9.5,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80%,0%,0,93.50%,0%,59,56.5,14.55%,-1.1192,12.2556,-0.6867,100.9733,-0.5208,18.8585,-0.3151,0.0097,0.3944,11.5105,-0.2995244976
Woodside Elementary,Anne Arundel County,Elementary,1262,358,142,66,118,10,0,0,20,37,0.44,11,2,9,31.80%,35.70%,2.7,2.9,35.8,20,33.3,0,36.4,12.5,16.1,44.8,20,29.4,0,36.4,4.2,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.10%,1.70%,0,86.60%,1.70%,51,34,68.61%,0.9174,19.6478,-0.6762,22.2114,-0.5588,0.4217,-0.3617,0.4323,90.5477,11.5439,-0.2954295091
Annapolis Middle,Anne Arundel County,Middle,4033,987,255,306,376,17,0,0,31,42.3,0.51,31,3,8.2,29%,30.50%,2.6,2.6,70.4,9.8,12.3,80,40,2.3,0,72.1,11.9,12.6,66.7,61.3,3.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.40%,94.20%,0,79.70%,77.30%,49,39,59.43%,0.5715,188.0767,-0.5714,79.0351,-0.5291,9.7963,-0.3304,13.7403,576.6672,29.4502,1.902177782
Arundel Middle,Anne Arundel County,Middle,3023,1032,528,243,97,46,0,0,111,56.8,0.68,77,4,11.6,48.80%,52.50%,3.2,3.4,58.3,27.5,39.4,75,50,14.3,0,60.7,35.2,38,63.6,58.5,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60%,98.20%,0,87.30%,97.30%,59,48,15.90%,-1.0683,12.0851,-0.6870,12.6638,-0.5671,2.0141,-0.3520,37.9810,5.1093,8.3578,-0.6864443156
Brooklyn Park Middle,Anne Arundel County,Middle,1023,714,315,189,113,15,0,0,80,44.9,0.54,40,3,8.4,22.80%,38.30%,2.5,2.8,25.3,18.4,18.1,69.2,21.9,3,0,41.4,34.8,35.8,84.6,30.7,7.2,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,81.50%,0,80%,90.70%,42,43,53.81%,0.3598,28.4287,-0.6661,22.6998,-0.5585,4.5385,-0.3430,31.5165,9.7063,9.8433,-0.5041410634
Central Middle,Anne Arundel County,Middle,4283,1202,955,48,108,40,0,0,48,65.5,0.79,95,5,14.6,68.40%,73.10%,3.7,3.9,70.7,46.8,49.5,90,69.6,24.3,0,75.9,58.7,46.2,90,78.3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.70%,95.80%,0,91.30%,98.30%,65,63,11.83%,-1.2217,80.3090,-0.6251,139.5960,-0.5082,0.2783,-0.3632,8.3410,8.1635,15.3847,0.1759419938
Chesapeake Bay Middle,Anne Arundel County,Middle,2423,1021,864,44,55,15,0,0,37,46.8,0.64,68,4,11,44.60%,47.70%,3.1,3.2,46.5,25.6,29.1,60,40,6.1,0,49.7,35.9,32.7,60,31.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.80%,0,83.90%,97%,57,43,21.56%,-0.8551,108.1924,-0.6088,113.5488,-0.5165,13.0236,-0.3244,9.8726,35.7327,16.7443,0.3428025848
Corkran Middle School,Anne Arundel County,Middle,1043,585,246,167,104,27,0,0,40,45.5,0.55,42,3,7.5,21.30%,25.30%,2.6,2.6,26.4,11,18.8,38.5,27,0,3.3,29,18.2,24.7,30.8,30.6,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.90%,95.20%,0,82.40%,98.80%,45,38,51.52%,0.2736,29.9657,-0.6645,29.9475,-0.5534,1.6116,-0.3539,0.6149,17.5814,8.9287,-0.6163868659
Crofton Middle,Anne Arundel County,Middle,3263,1181,712,233,85,77,0,0,67,52.8,0.72,86,4,12.1,52.50%,55.20%,3.3,3.4,60.5,27.3,37.8,60.8,63.1,6.5,0,63.8,31.4,38.6,68.5,52.3,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.70%,0,92.10%,98.90%,66,41,11.41%,-1.2375,0.1198,-0.7224,0.6040,-0.5869,27.5105,-0.3037,0.2642,21.3373,7.0594,-0.8457926572
George Fox Middle,Anne Arundel County,Middle,2033,823,611,69,79,19,0,0,41,46,0.55,45,3,8.2,24.50%,30.50%,2.6,2.8,25.9,12.3,20.8,50,22.5,7.1,0,29.7,33.8,29.9,56.3,30,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60%,87.50%,0,77.40%,97.30%,50,38,32.45%,-0.4449,30.0052,-0.6644,47.1643,-0.5435,3.8958,-0.3450,1.5278,3.4292,9.2748,-0.5739036265
Lindale Middle,Anne Arundel County,Middle,1053,1091,494,291,166,68,0,0,67,43.7,0.53,35,3,9.6,34.30%,41.60%,2.8,3,35.7,23.3,31.5,58.8,50.8,17.2,10.3,42.4,33.8,37.6,57.4,59.4,14,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40%,87.80%,0,72.60%,94.20%,45,46,44.41%,0.0057,37.1291,-0.6575,36.5260,-0.5493,20.6357,-0.3126,0.0182,10.6547,10.2452,-0.4548146145
MacArthur Middle,Anne Arundel County,Middle,3033,1037,211,554,139,41,0,0,80,42.1,0.51,31,3,8.4,24.90%,32.90%,2.7,2.8,36,16.6,28.8,51.3,32.4,4.1,0,48.6,27.1,30.5,53.8,30.9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.70%,100%,0,82.80%,85.40%,46,39,40.31%,-0.1488,267.2694,-0.5417,664.9319,-0.4086,0.3247,-0.3627,4.8096,2.2070,30.6520,2.049664578
Magothy River Middle,Anne Arundel County,Middle,2243,738,572,39,69,16,0,0,38,55.7,0.76,92,5,13.5,63.50%,62.40%,3.5,3.6,68.1,21.6,46.9,62.5,64.7,12.1,0,65.6,35.1,48.5,62.5,68.6,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.40%,0,90.60%,99.60%,63,55.5,11.32%,-1.2409,40.1616,-0.6547,71.3657,-0.5322,4.2846,-0.3438,0.9714,3.8052,10.9813,-0.3644746715
Marley Middle,Anne Arundel County,Middle,1063,841,341,230,177,35,0,0,51,50.2,0.6,59,4,7.8,20.70%,30.30%,2.5,2.8,27.8,12.7,12.4,46.4,16,11.5,4.5,35.9,24.9,23.6,50,22,7.3,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60%,92.90%,0,83%,86.20%,54,55,52.20%,0.2992,50.8221,-0.6458,33.1628,-0.5514,0.6895,-0.3594,0.0008,60.6022,12.0531,-0.2329318053
Meade Middle,Anne Arundel County,Middle,3423,620,66,290,184,32,0,0,45,44.3,0.53,37,3,7,14.40%,27.60%,2.3,2.6,32.8,7.5,12.4,25.9,29.3,2.7,1.7,46.7,24.2,20.2,34.6,46.3,5.4,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.10%,76.50%,0,84.80%,91.60%,43,44.5,59.29%,0.5663,248.7729,-0.5482,259.6965,-0.4776,4.0869,-0.3444,1.5210,167.3298,26.1038,1.491475979
