  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,Segregation Index
Piney Orchard Elementary,Anne Arundel County,Elementary,3242,638,325,122,71,41,0,0,75,47.2,0.56,26,3,12.2,48.70%,60.60%,3.3,3.5,56.4,30.8,56.4,63.2,35.1,16,0,62.4,49.2,66.7,78.9,59.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80%,0%,0,93%,0%,53,46.5,12.01%,0.0558
Point Pleasant Elementary,Anne Arundel County,Elementary,1212,568,348,74,69,0,0,0,69,36.6,0.43,10,2,8.7,25.20%,37.20%,2.6,3,27.8,7.9,22.6,0,33.3,11.4,0,39.1,21.1,45.2,0,45.5,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.30%,0%,0,83.60%,1.10%,40,44,48.86%,0.0902
Quarterfield Elementary,Anne Arundel County,Elementary,1232,442,170,119,55,48,0,0,48,39.5,0.46,14,3,9.7,28.30%,45.70%,2.8,3.2,31.9,19.6,22.2,50,40,26.7,13.3,47.2,44.6,40.7,41.7,53.3,20,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.60%,0%,0,86.90%,0%,37,52.5,36.10%,0.0593
Richard Henry Lee Elementary,Anne Arundel County,Elementary,1242,518,248,97,111,20,0,0,33,39.7,0.47,14,3,7.9,25.80%,27%,2.6,2.6,26.6,17.6,25.5,0,23.1,7.7,8.8,28.9,19.6,23.5,0,38.5,3.8,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.80%,0%,0,86.80%,0%,56.5,38,49.90%,0.0652
Ridgeway Elementary,Anne Arundel County,Elementary,3192,640,328,145,68,20,0,0,77,45.9,0.54,24,3,11.7,51.70%,51.40%,3.3,3.3,56.2,39.2,33.3,0,70.3,13,0,53.3,41.9,33.3,0,78.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.80%,0%,0,91%,0%,54.5,42,24.18%,0.0486
Rippling Woods Elementary,Anne Arundel County,Elementary,3392,655,237,238,103,30,0,0,44,33.1,0.39,6,2,8,22.80%,32.20%,2.6,2.7,28.3,17.2,25,40,11.8,8.8,19.2,38.7,25.8,32.6,60,11.8,2.9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.30%,0.90%,0,82.60%,0.90%,39,41,53.67%,0.0635
Riviera Beach Elementary,Anne Arundel County,Elementary,2192,334,272,19,18,0,0,0,20,40.4,0.54,23,3,11.4,48%,49.30%,3.3,3.3,48.7,42.9,60,0,0,38.9,0,47.8,57.1,70,0,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,87.30%,0%,71,52,39.52%,0.1546
Rolling Knolls Elementary,Anne Arundel County,Elementary,4232,413,214,39,111,22,0,0,26,51.1,0.6,36,4,12.1,55.80%,51.70%,3.4,3.3,70.4,37.5,25,0,0,15.8,13.3,68.4,31.3,18.2,0,0,21.1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.10%,0%,0,93.70%,0%,69,59,32.33%,0.1033
Seven Oaks Elementary,Anne Arundel County,Elementary,3092,686,95,434,68,12,0,0,72,45.5,0.54,23,3,9.9,33.20%,46.30%,2.8,3.1,52,28.5,37.9,0,47.1,10,21.4,60,43.5,55.2,0,50,5,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.50%,0%,0,90.40%,0%,54.5,62,30.28%,0.1880
Severn Elementary,Anne Arundel County,Elementary,3202,509,126,248,69,26,0,0,35,39.4,0.46,14,3,9.4,32.50%,39.60%,2.8,3,40,32,21.7,38.5,30.8,15,18.2,51.4,39.2,30.4,38.5,30.8,20,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.30%,0%,0,92.60%,1.30%,51,32.5,32.75%,0.1201
Severna Park Elementary,Anne Arundel County,Elementary,2202,417,362,0,19,14,0,0,15,49.4,0.58,31,3,14.7,69%,74.90%,3.7,3.8,71.9,0,0,0,0,16.7,0,77,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.80%,0%,0,93.50%,0%,55,41,5.76%,0.1820
Shady Side Elementary,Anne Arundel County,Elementary,4242,500,413,45,12,0,0,0,21,30.7,0.41,8,2,10.2,34.70%,47.40%,2.9,3.2,39.2,16.7,0,0,20,9.1,0,50.3,25,0,0,30,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,90.20%,0%,32,39,15.54%,0.1522
Shipley's Choice Elementary,Anne Arundel County,Elementary,2432,390,339,0,13,17,0,0,14,49.4,0.66,54,4,17.4,89.30%,90.40%,4.2,4.2,88.9,0,0,0,0,36.4,0,90.1,0,0,0,0,36.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,98.70%,0%,59.5,60,1.53%,0.1827
Solley Elementary,Anne Arundel County,Elementary,2212,836,555,105,90,24,0,0,58,39.2,0.46,13,3,10.8,43.90%,45.90%,3.1,3.2,46.6,27.1,45.3,0,40,6.5,0,48.6,31.3,46.2,0,43.3,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.90%,2.20%,0,89.30%,2.20%,43.5,38,30.84%,0.0941
South Shore Elementary,Anne Arundel County,Elementary,3212,341,245,10,56,0,0,0,24,43.3,0.51,19,3,13,62.10%,57.40%,3.5,3.5,65.1,0,50,0,54.5,4.2,0,61.2,0,40,0,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.90%,0%,0,92.30%,0%,44,36,23.41%,0.1382
Southgate Elementary,Anne Arundel County,Elementary,3382,768,296,277,113,19,0,0,62,38.1,0.45,12,2,9.2,33.10%,37.80%,2.8,2.9,41.4,23.7,17.3,78.6,44,3.8,7.4,47.1,31.3,19.2,71.4,40,7.7,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.80%,0%,0,87.90%,0%,54,41,51.17%,0.0577
Sunset Elementary,Anne Arundel County,Elementary,2222,528,408,34,27,12,0,0,45,35.8,0.48,15,3,10.8,38.40%,49.50%,3.1,3.3,41.3,18.8,30,0,31.6,13.3,0,52.7,50,50,0,21.1,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,88%,0%,57,41,22.86%,0.1411
Traceys Elementary,Anne Arundel County,Elementary,4252,404,271,26,84,0,0,0,21,38.7,0.46,13,3,10.7,44.20%,46.70%,3.1,3.1,54.6,13.3,9.4,0,0,16.7,5.6,51.8,33.3,28.1,0,0,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.20%,0%,0,88.90%,0%,48,26.5,37.28%,0.1214
Tyler Heights Elementary,Anne Arundel County,Elementary,4262,458,0,27,422,0,0,0,0,34.7,0.41,8,2,5.9,12%,16.80%,2.2,2.3,0,18.8,11.7,0,0,0,4.4,0,37.5,15.2,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.10%,0%,0,84.60%,0%,46.5,47,88.29%,0.3763
Van Bokkelen Elementary,Anne Arundel County,Elementary,3152,491,18,352,91,0,0,0,23,31.6,0.37,4,2,7.3,19.60%,29%,2.3,2.6,0,17.3,31,0,0,0,11.8,0,26.7,35.7,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.90%,0%,0,76.20%,0%,45,47.5,79.92%,0.2382
Walter S. Mills - Parole Elementary,Anne Arundel County,Elementary,4222,627,12,259,343,0,0,0,0,34.1,0.4,7,2,6.1,15.30%,17.40%,2.2,2.2,0,10.5,18.9,0,0,30.6,16.7,0,16.7,17.9,0,0,33.3,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.60%,0%,0,80%,0%,49,47,88.91%,0.2531
Waugh Chapel Elementary,Anne Arundel County,Elementary,3222,615,330,119,63,48,0,0,51,49.5,0.58,32,3,12.8,56.70%,60.10%,3.4,3.6,65.8,31.4,36.4,88.9,51.7,20,0,67.8,39.2,40.9,94.4,48.3,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.50%,0%,0,90.80%,0%,59.5,53,19.97%,0.0499
West Annapolis Elementary,Anne Arundel County,Elementary,4272,227,150,24,24,0,0,0,19,55.3,0.65,53,4,14.8,71.40%,73.50%,3.8,3.8,81.3,23.1,0,0,0,0,0,82.8,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80%,0%,0,85.70%,0%,71,73,16.89%,0.1022
Windsor Farm Elementary,Anne Arundel County,Elementary,2372,550,378,45,83,0,0,0,35,51.4,0.6,37,4,12.9,57.40%,61.60%,3.5,3.5,63.1,20.8,46.3,0,58.3,4.8,36.4,68.5,33.3,43.9,0,50,9.5,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80%,0%,0,93.50%,0%,59,56.5,14.55%,0.1151
Woodside Elementary,Anne Arundel County,Elementary,1262,358,142,66,118,10,0,0,20,37,0.44,11,2,9,31.80%,35.70%,2.7,2.9,35.8,20,33.3,0,36.4,12.5,16.1,44.8,20,29.4,0,36.4,4.2,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.10%,1.70%,0,86.60%,1.70%,51,34,68.61%,0.1072
Annapolis Middle,Anne Arundel County,Middle,4033,987,255,306,376,17,0,0,31,42.3,0.51,31,3,8.2,29%,30.50%,2.6,2.6,70.4,9.8,12.3,80,40,2.3,0,72.1,11.9,12.6,66.7,61.3,3.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.40%,94.20%,0,79.70%,77.30%,49,39,59.43%,0.1414
Arundel Middle,Anne Arundel County,Middle,3023,1032,528,243,97,46,0,0,111,56.8,0.68,77,4,11.6,48.80%,52.50%,3.2,3.4,58.3,27.5,39.4,75,50,14.3,0,60.7,35.2,38,63.6,58.5,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60%,98.20%,0,87.30%,97.30%,59,48,15.90%,0.0419
Brooklyn Park Middle,Anne Arundel County,Middle,1023,714,315,189,113,15,0,0,80,44.9,0.54,40,3,8.4,22.80%,38.30%,2.5,2.8,25.3,18.4,18.1,69.2,21.9,3,0,41.4,34.8,35.8,84.6,30.7,7.2,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,81.50%,0,80%,90.70%,42,43,53.81%,0.0507
Central Middle,Anne Arundel County,Middle,4283,1202,955,48,108,40,0,0,48,65.5,0.79,95,5,14.6,68.40%,73.10%,3.7,3.9,70.7,46.8,49.5,90,69.6,24.3,0,75.9,58.7,46.2,90,78.3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.70%,95.80%,0,91.30%,98.30%,65,63,11.83%,0.1501
Chesapeake Bay Middle,Anne Arundel County,Middle,2423,1021,864,44,55,15,0,0,37,46.8,0.64,68,4,11,44.60%,47.70%,3.1,3.2,46.5,25.6,29.1,60,40,6.1,0,49.7,35.9,32.7,60,31.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.80%,0,83.90%,97%,57,43,21.56%,0.1658
Corkran Middle School,Anne Arundel County,Middle,1043,585,246,167,104,27,0,0,40,45.5,0.55,42,3,7.5,21.30%,25.30%,2.6,2.6,26.4,11,18.8,38.5,27,0,3.3,29,18.2,24.7,30.8,30.6,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.90%,95.20%,0,82.40%,98.80%,45,38,51.52%,0.0465
Crofton Middle,Anne Arundel County,Middle,3263,1181,712,233,85,77,0,0,67,52.8,0.72,86,4,12.1,52.50%,55.20%,3.3,3.4,60.5,27.3,37.8,60.8,63.1,6.5,0,63.8,31.4,38.6,68.5,52.3,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.70%,0,92.10%,98.90%,66,41,11.41%,0.0584
George Fox Middle,Anne Arundel County,Middle,2033,823,611,69,79,19,0,0,41,46,0.55,45,3,8.2,24.50%,30.50%,2.6,2.8,25.9,12.3,20.8,50,22.5,7.1,0,29.7,33.8,29.9,56.3,30,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60%,87.50%,0,77.40%,97.30%,50,38,32.45%,0.1251
Lindale Middle,Anne Arundel County,Middle,1053,1091,494,291,166,68,0,0,67,43.7,0.53,35,3,9.6,34.30%,41.60%,2.8,3,35.7,23.3,31.5,58.8,50.8,17.2,10.3,42.4,33.8,37.6,57.4,59.4,14,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40%,87.80%,0,72.60%,94.20%,45,46,44.41%,0.0337
MacArthur Middle,Anne Arundel County,Middle,3033,1037,211,554,139,41,0,0,80,42.1,0.51,31,3,8.4,24.90%,32.90%,2.7,2.8,36,16.6,28.8,51.3,32.4,4.1,0,48.6,27.1,30.5,53.8,30.9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.70%,100%,0,82.80%,85.40%,46,39,40.31%,0.1443
Magothy River Middle,Anne Arundel County,Middle,2243,738,572,39,69,16,0,0,38,55.7,0.76,92,5,13.5,63.50%,62.40%,3.5,3.6,68.1,21.6,46.9,62.5,64.7,12.1,0,65.6,35.1,48.5,62.5,68.6,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.40%,0,90.60%,99.60%,63,55.5,11.32%,0.1421
Marley Middle,Anne Arundel County,Middle,1063,841,341,230,177,35,0,0,51,50.2,0.6,59,4,7.8,20.70%,30.30%,2.5,2.8,27.8,12.7,12.4,46.4,16,11.5,4.5,35.9,24.9,23.6,50,22,7.3,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60%,92.90%,0,83%,86.20%,54,55,52.20%,0.0588
Meade Middle,Anne Arundel County,Middle,3423,620,66,290,184,32,0,0,45,44.3,0.53,37,3,7,14.40%,27.60%,2.3,2.6,32.8,7.5,12.4,25.9,29.3,2.7,1.7,46.7,24.2,20.2,34.6,46.3,5.4,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.10%,76.50%,0,84.80%,91.60%,43,44.5,59.29%,0.1786
Old Mill Middle North,Anne Arundel County,Middle,3333,1024,380,400,122,43,0,0,73,46,0.55,44,3,8.9,31.10%,34.60%,2.8,2.8,49.2,16.2,16.8,45.2,27.8,9.5,3.8,49.5,19.6,26.5,61.9,31.9,9.5,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.70%,95.10%,0,83.50%,85.70%,48,40,42.49%,0.0624
Old Mill Middle South,Anne Arundel County,Middle,3343,870,499,163,107,42,0,0,57,51.7,0.62,63,4,10.8,44%,47.10%,3.1,3.2,50.2,27.2,26.3,65.9,52.7,14.3,0,53.9,33.3,27.3,61,49.1,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44%,92.90%,0,85.20%,92.20%,50,52,27.55%,0.0555
Severn River Middle,Anne Arundel County,Middle,2413,748,558,46,74,24,0,0,44,58.6,0.71,82,4,13.5,61.90%,64.80%,3.6,3.6,67,33.3,41.1,75,53.5,9.6,15.4,69.9,40.5,37,75,65.1,9.6,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.30%,97.40%,0,92.20%,98.50%,57,55,13.24%,0.1317
Severna Park Middle,Anne Arundel County,Middle,2043,1454,1201,41,83,53,0,0,70,58.7,0.8,95,5,15.4,75.60%,76.70%,3.8,3.9,76.6,47.5,65,86.8,78.3,14.5,0,77.5,47.5,67.5,86.8,82.6,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.50%,0,94.90%,98.70%,61,51,4.67%,0.1628
Southern Middle,Anne Arundel County,Middle,4053,744,559,50,85,0,0,0,46,52.1,0.63,64,4,10.6,39.40%,47.70%,3,3.2,44.4,12.2,19,0,46.5,6.6,5.6,53.5,28.6,24.7,0,41.9,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.30%,99.20%,0,85.50%,99.20%,56,49,24.43%,0.1336
Wiley H. Bates Middle,Anne Arundel County,Middle,4043,656,253,167,195,15,0,0,23,49.2,0.59,57,3,9.6,35.70%,41.20%,2.8,2.9,64.8,10.3,16.5,40,52.2,5.4,1.5,70.9,20.5,16.5,46.7,56.5,5.4,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.90%,88.60%,0,87.70%,88.60%,51,47,43.96%,0.0899
Annapolis High,Anne Arundel County,High School,4013,1980,634,524,705,54,0,0,55,48.5,0.54,37,3,14.1,38.90%,46.80%,2.1,3,73.4,17.1,11.3,0,0,4.2,0,77.9,27.4,23.7,0,0,0,0,86.41,96.71,90.14,71.88,0,0,63.16,48.39,88.11,96.71,92.2,75,0,0,71.43,51.67,41.60%,93.80%,79.70%,62.20%,67.90%,0,0,42.93%,0.1203
Arundel High,Anne Arundel County,High School,3013,2118,1074,555,182,123,0,0,166,61,0.68,65,4,16.1,45.80%,50%,2.7,3.3,59.6,23.1,26.2,72.4,42.1,17.4,0,60.6,32.4,40,59.3,48.8,13.6,0,92.22,94.79,88.46,82.69,96.88,0,67.74,0,93.81,95.1,90.55,88.46,100,0,70.97,0,71%,97.70%,90.60%,77.20%,68.10%,0,0,16.24%,0.0270
Broadneck High,Anne Arundel County,High School,2363,2084,1551,169,177,65,0,0,106,65.5,0.73,75,4,19.5,62.50%,65.60%,2.9,3.7,64.5,46.2,38.5,84.2,57.9,5,0,66.9,44.4,58.6,76.2,68.4,4.5,0,94.73,95.33,100,83.33,0,0,0,0,95.29,95.58,100,--,0,0,0,0,50%,98.50%,85.90%,82.10%,79.40%,0,0,8.77%,0.1261
Chesapeake High,Anne Arundel County,High School,2273,1400,1187,65,66,26,0,0,46,57.1,0.71,72,4,19.5,57%,69.40%,3,3.7,55.6,50,63.6,0,0,0,0,69,45.5,81.8,0,0,6.7,0,90.06,90.88,0,0,0,0,0,0,91.67,92.74,0,0,0,0,0,0,0,91.60%,72.70%,78.60%,78.60%,0,0,15.94%,0.1657
Glen Burnie High,Anne Arundel County,High School,1033,2020,890,546,355,88,0,10,128,46.8,0.52,33,3,11.6,25.80%,29.60%,2.4,2.6,29.9,15.2,25.8,47.6,25,4.5,5.3,31.3,25.7,23.5,56.5,26.1,4.5,0,90.3,90.55,93.91,83.33,0,0,0,0,92.33,90.64,95.61,87.14,0,0,0,0,50.50%,87.80%,77.40%,63.40%,61%,0,0,41.97%,0.0423
Meade High,Anne Arundel County,High School,3323,1978,289,1049,426,86,0,10,112,51.4,0.57,40,3,12.9,27.70%,40.20%,2.4,2.9,47.1,21.3,30,31.3,38.9,14.3,0,63.2,36.1,32.2,43.8,40,16.7,7.7,86.59,89.04,88.85,75,0,--,52.08,0,90.06,90.28,92.37,81.91,0,90,61.36,0,56.70%,91.60%,77%,69.70%,63.10%,0,0,38.47%,0.1654
North County High,Anne Arundel County,High School,1323,2214,1089,567,308,107,0,0,131,48.2,0.54,35,3,13.4,28.70%,42.40%,2.4,3,34.1,20.7,15.5,56,23.3,6.1,0,50.2,34.2,30.6,59.1,29,10.5,0,86.18,86.08,86.21,81.13,0,0,63.41,0,87.91,87.45,88.7,84.62,0,0,65.85,0,46.60%,93.10%,80.70%,64.30%,55.50%,0,0,44.45%,0.0280
Northeast High,Anne Arundel County,High School,2023,1422,1051,136,110,37,0,0,79,55.5,0.62,50,4,11.5,29.40%,24.90%,2.5,2.4,31.3,17.1,18.5,0,40,3.6,0,25,14.3,26.9,0,40.9,7.1,0,90.88,89.84,97.14,0,0,0,0,0,92.38,91.02,97.14,0,0,0,0,0,70%,99.40%,81.10%,75.90%,72.50%,0,0,27.79%,0.1216
Old Mill High,Anne Arundel County,High School,3353,2230,918,781,271,110,0,0,136,55.4,0.62,50,4,13.9,39.10%,38.90%,2.5,2.8,48.3,30.6,15.4,71.4,34.5,13.3,0,46.3,25.9,34,55.2,50,15.6,0,93.36,95.45,91.58,90.2,0,90.91,70.27,0,94.44,96.69,92.55,90.2,0,90.91,72.22,0,62.70%,94.10%,89.20%,71.60%,67.30%,0,0,33.69%,0.0416
Severna Park High,Anne Arundel County,High School,2013,1876,1559,71,95,74,0,0,74,63.3,0.79,88,5,19.1,81%,46.10%,3.3,3.1,83.8,28.6,60,94.1,78.6,21.4,0,47,21.4,26.3,68.8,47.1,13.3,0,95.45,95.51,0,0,0,0,0,0,95.93,95.79,0,0,0,0,0,0,0,96.70%,94.70%,90.40%,76%,0,0,3.28%,0.1619
South River High,Anne Arundel County,High School,4293,2150,1658,114,189,79,0,0,101,65,0.72,74,4,19,61.20%,63.50%,2.9,3.6,66.5,34.5,33.3,42.9,70,9.1,0,67.9,32.1,53.2,42.9,61.9,8.7,0,93.06,94.83,0,77.5,0,0,0,0,93.43,95.08,0,75.61,0,0,0,0,52.90%,99.20%,94%,80.50%,80.10%,0,0,10.23%,0.1404
Southern High,Anne Arundel County,High School,4023,1010,755,96,88,13,0,0,56,55.1,0.69,68,4,18,50.90%,64%,2.7,3.6,55.8,29.6,33.3,0,0,13.3,0,68.6,37.9,56.3,0,0,25,0,92.57,92.56,0,0,0,0,0,0,94.36,94.34,0,0,0,0,0,0,0,93.20%,88.90%,75.90%,72%,0,0,22.45%,0.1245
Abbottston Elementary,Baltimore City,Elementary,50,224,0,204,0,0,0,0,0,46.4,0.62,41,4,6.7,29.90%,10.30%,2.6,2.1,0,29.6,0,0,0,5,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.30%,0,67%,100%,89,60,100%,0.3008
Alexander Hamilton Elementary,Baltimore City,Elementary,145,223,0,217,0,0,0,0,0,21,0.28,1,1,3.9,3.80%,6.30%,1.7,1.7,0,3.8,0,0,0,0,0,0,6.3,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10%,0,49.80%,100%,26,32.5,100%,0.3190
Belmont Elementary,Baltimore City,Elementary,217,269,0,257,0,0,0,0,0,39.2,0.52,21,3,4,3.40%,8.60%,1.6,1.8,0,3.5,0,0,0,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.20%,0,77.50%,95.50%,47,52.5,100%,0.3137
Brehms Lane Public Charter School,Baltimore City,Elementary,231,680,0,657,12,0,0,0,0,29.7,0.4,7,2,4.2,6.50%,5.90%,1.8,1.8,0,6.8,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.70%,0,57.60%,100%,39,42,100%,0.3162
Callaway Elementary,Baltimore City,Elementary,251,334,0,317,10,0,0,0,0,35.8,0.48,15,3,8.3,31.20%,33%,2.6,2.5,0,30.4,0,0,0,27.8,0,0,32.4,0,0,0,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73%,0,60.60%,78.40%,39,68.5,100%,0.3107
Calvin M. Rodwell Elementary,Baltimore City,Elementary,256,316,0,297,10,0,0,0,0,45.6,0.61,38,4,7.6,28.60%,20.20%,2.7,2.5,0,28.1,0,0,0,6.3,0,0,20.2,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,65%,100%,69,69,100%,0.3079
Cecil Elementary,Baltimore City,Elementary,7,376,10,365,0,0,0,0,0,32.2,0.43,10,2,5.5,12.10%,13.90%,2.2,2.1,0,12.2,0,0,0,4.8,0,0,14,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.20%,0,68.80%,100%,28,40,100%,0.3124
Charles Carroll Barrister Elementary,Baltimore City,Elementary,34,356,70,136,129,18,0,0,0,54,0.64,47,4,8,28.90%,27.50%,2.6,2.6,29.2,32.7,22,0,0,0,18.4,37.5,28.8,20,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.30%,100%,0,82.30%,100%,43.5,64.5,93.77%,0.1551
Creative City Public Charter School,Baltimore City,Elementary,384,363,47,291,0,0,0,0,15,15.8,0.21,0,1,5,10.70%,10.80%,1.9,2,31.6,5.6,0,0,0,0,0,36.8,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,60.10%,2.80%,36,39.5,86.91%,0.2388
Dallas F. Nicholas Sr. Elementary,Baltimore City,Elementary,39,274,0,235,18,11,0,0,0,36.2,0.43,9,2,3.8,7%,3%,1.8,1.5,0,5.8,0,0,0,4.2,0,0,2.3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60%,97.40%,0,42.50%,100%,53.5,28.5,100%,0.2826
Dorothy I. Height Elementary School,Baltimore City,Elementary,61,319,0,311,0,0,0,0,0,29.9,0.4,7,2,3.5,2.60%,2.60%,1.6,1.6,0,2.6,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.60%,0,65.40%,100%,38,34.5,100%,0.3195
Dr. Bernard Harris Sr. Elementary,Baltimore City,Elementary,250,352,0,347,0,0,0,0,0,28.8,0.38,5,2,3.9,5%,2.90%,1.8,1.7,0,5.1,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.20%,0,63%,100%,32,39,100%,0.3228
Edgecombe Circle Elementary,Baltimore City,Elementary,62,293,0,280,0,0,0,0,0,28.6,0.38,5,2,4.1,4.10%,7.10%,1.7,1.8,0,4.2,0,0,0,4.5,0,0,7.4,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,44%,100%,32,40,100%,0.3138
Edgewood Elementary,Baltimore City,Elementary,67,219,0,213,0,0,0,0,0,31.7,0.42,9,2,4.3,7.60%,3.30%,2,1.8,0,7.8,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.80%,0,56.40%,100%,49,40.5,100%,0.3188
Eutaw-Marshburn Elementary,Baltimore City,Elementary,11,296,0,288,0,0,0,0,0,16.3,0.22,1,1,3.6,5.60%,0%,1.8,1.6,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,72.40%,6.10%,31,26,100%,0.3189
Federal Hill Preparatory School,Baltimore City,Elementary,45,339,86,205,26,11,0,0,10,51.9,0.69,65,4,8.9,28.50%,40.80%,2.6,2.8,63.2,15.7,46.7,0,0,19.4,0,89.5,29.2,46.7,0,0,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.90%,0,74.10%,100%,64,81,69.01%,0.1476
